Date,Time,"Virtual Memory Committed [MB]","Virtual Memory Available [MB]","Virtual Memory Load [%]","Physical Memory Used [MB]","Physical Memory Available [MB]","Physical Memory Load [%]","Page File Usage [%]","Core VIDs (avg) [V]","Core 0 VID [V]","Core 1 VID [V]","Core 2 VID [V]","Core 3 VID [V]","Core 4 VID [V]","Core 5 VID [V]","Core Clocks (avg) [MHz]","Core 0 Clock [MHz]","Core 1 Clock [MHz]","Core 2 Clock [MHz]","Core 3 Clock [MHz]","Core 4 Clock [MHz]","Core 5 Clock [MHz]","Bus Clock [MHz]","Core Effective Clocks (avg) [MHz]","Core 0 T0 Effective Clock [MHz]","Core 0 T1 Effective Clock [MHz]","Core 1 T0 Effective Clock [MHz]","Core 1 T1 Effective Clock [MHz]","Core 2 T0 Effective Clock [MHz]","Core 2 T1 Effective Clock [MHz]","Core 3 T0 Effective Clock [MHz]","Core 3 T1 Effective Clock [MHz]","Core 4 T0 Effective Clock [MHz]","Core 4 T1 Effective Clock [MHz]","Core 5 T0 Effective Clock [MHz]","Core 5 T1 Effective Clock [MHz]","Average Effective Clock [MHz]","Core Usage (avg) [%]","Core 0 T0 Usage [%]","Core 0 T1 Usage [%]","Core 1 T0 Usage [%]","Core 1 T1 Usage [%]","Core 2 T0 Usage [%]","Core 2 T1 Usage [%]","Core 3 T0 Usage [%]","Core 3 T1 Usage [%]","Core 4 T0 Usage [%]","Core 4 T1 Usage [%]","Core 5 T0 Usage [%]","Core 5 T1 Usage [%]","Max CPU/Thread Usage [%]","Total CPU Usage [%]","Core Utility (avg) [%]","Core 0 T0 Utility [%]","Core 0 T1 Utility [%]","Core 1 T0 Utility [%]","Core 1 T1 Utility [%]","Core 2 T0 Utility [%]","Core 2 T1 Utility [%]","Core 3 T0 Utility [%]","Core 3 T1 Utility [%]","Core 4 T0 Utility [%]","Core 4 T1 Utility [%]","Core 5 T0 Utility [%]","Core 5 T1 Utility [%]","Total CPU Utility [%]","Core Ratios (avg) [x]","Core 0 Ratio [x]","Core 1 Ratio [x]","Core 2 Ratio [x]","Core 3 Ratio [x]","Core 4 Ratio [x]","Core 5 Ratio [x]","Package C6 Residency [%]","Core C0 Residency (avg) [%]","Core 0 C0 Residency [%]","Core 1 C0 Residency [%]","Core 2 C0 Residency [%]","Core 3 C0 Residency [%]","Core 4 C0 Residency [%]","Core 5 C0 Residency [%]","Core C1 Residency (avg) [%]","Core 0 C1 Residency [%]","Core 1 C1 Residency [%]","Core 2 C1 Residency [%]","Core 3 C1 Residency [%]","Core 4 C1 Residency [%]","Core 5 C1 Residency [%]","Core C6 Residency (avg) [%]","Core 0 C6 Residency [%]","Core 1 C6 Residency [%]","Core 2 C6 Residency [%]","Core 3 C6 Residency [%]","Core 4 C6 Residency [%]","Core 5 C6 Residency [%]","Memory Clock [MHz]","Memory Clock Ratio [x]","Tcas [T]","Trcd [T]","Trp [T]","Tras [T]","Trc [T]","Trfc [T]","Command Rate [T]","CPU (Tctl/Tdie) [°C]","CPU Die (average) [°C]","Core Temperatures (avg) [°C]","Core0 (Die1) [°C]","Core1 (Die1) [°C]","Core2 (Die1) [°C]","Core4 (Die1) [°C]","Core5 (Die1) [°C]","Core6 (Die1) [°C]","L3 Temperatures (avg) [°C]","L3 Cache (Die1:CCX1) [°C]","L3 Cache (Die1:CCX2) [°C]","CPU Core Voltage (SVI2 TFN) [V]","SoC Voltage (SVI2 TFN) [V]","CPU Core VID (Effective) [V]","CPU Core Current (SVI2 TFN) [A]","SoC Current (SVI2 TFN) [A]","CPU TDC [A]","CPU Package Power [W]","Core Powers (avg) [W]","Core 0 Power [W]","Core 1 Power [W]","Core 2 Power [W]","Core 3 Power [W]","Core 4 Power [W]","Core 5 Power [W]","CPU Core Power (SVI2 TFN) [W]","CPU SoC Power (SVI2 TFN) [W]","Core+SoC Power (SVI2 TFN) [W]","CPU PPT [W]","Infinity Fabric Clock (FCLK) [MHz]","Memory Controller Clock (UCLK) [MHz]","L3 Clocks (avg) [MHz]","L3 Cache (Die1:CCX1) [MHz]","L3 Cache (Die1:CCX2) [MHz]","CPU PPT Limit [%]","CPU TDC Limit [%]","Thermal Limit [%]","Power Reporting Deviation (Accuracy) [%]","Thermal Throttling (HTC) [Yes/No]","Thermal Throttling (PROCHOT CPU) [Yes/No]","Thermal Throttling (PROCHOT EXT) [Yes/No]","Motherboard [°C]","CPU [°C]","AUXTIN2 [°C]","CPU (PECI) [°C]","Vcore [V]","VIN1 [V]","+3.3V (AVCC) [V]","+3.3V (3VCC) [V]","+12V [V]","VCOREREFIN [V]","VIN4 [V]","3VSB [V]","VBAT [V]","VIN5 [V]","VIN6 [V]","+5V [V]","VIN3 [V]","VIN7 [V]","CPU1 [RPM]","Chassis Intrusion [Yes/No]","Drive Temperature [°C]","Drive Airflow Temperature [°C]","Drive Failure [Yes/No]","Drive Warning [Yes/No]","Total Host Writes [GB]","Total Host Reads [GB]","Drive Temperature [°C]","Drive Remaining Life [%]","Drive Failure [Yes/No]","Drive Warning [Yes/No]","Total Host Writes [GB]","Total Host Reads [GB]","Read Activity [%]","Write Activity [%]","Total Activity [%]","Read Rate [MB/s]","Write Rate [MB/s]","Read Total [MB]","Write Total [MB]","Read Activity [%]","Write Activity [%]","Total Activity [%]","Read Rate [MB/s]","Write Rate [MB/s]","Read Total [MB]","Write Total [MB]","GPU Temperature [°C]","GPU Hot Spot Temperature [°C]","GPU Thermal Limit [°C]","GPU Core Voltage [V]","GPU Rail Voltages (avg) [V]","GPU PCIe +12V Input Voltage [V]","GPU 6-pin #1 Input Voltage [V]","GPU Fan [RPM]","GPU Power [W]","GPU Rail Powers (avg) [W]","GPU Core (NVVDD) Input Power (sum) [W]","GPU PCIe +12V Input Power [W]","GPU 6-pin #1 Input Power [W]","GPU Input PP Source Power (sum) [W]","GPU Core (NVVDD) Output Power [W]","GPU Core (NVVDD) Output Power [W]","GPU Clock [MHz]","GPU Memory Clock [MHz]","GPU Video Clock [MHz]","GPU Effective Clock [MHz]","GPU Core Load [%]","GPU Memory Controller Load [%]","GPU Video Engine Load [%]","GPU Bus Load [%]","GPU Memory Usage [%]","GPU D3D Usages (avg) [%]","GPU D3D Usage [%]","GPU Video Decode 0 Usage [%]","GPU Video Encode 0 Usage [%]","GPU VR Usage [%]","GPU Fan [%]","GPU Performance Limiters (avg) [Yes/No]","Performance Limit - Power [Yes/No]","Performance Limit - Thermal [Yes/No]","Performance Limit - Reliability Voltage [Yes/No]","Performance Limit - Max Operating Voltage [Yes/No]","Performance Limit - Utilization [Yes/No]","Performance Limit - SLI GPUBoost Sync [Yes/No]","Total GPU Power (normalized) [% of TDP] [%]","Total GPU Power [% of TDP] [%]","GPU Memory Allocated [MB]","GPU D3D Memory Dedicated [MB]","GPU D3D Memory Dynamic [MB]","PCIe Link Speed [GT/s]","Total DL [MB]","Total UP [MB]","Current DL rate [KB/s]","Current UP rate [KB/s]","Total Errors []",
26.12.2023,0:29:22.531,21760,12987,62.6,14698,1617,90.0,4.8,1.125,1.125,1.125,1.125,1.125,1.125,1.125,3393.9,3393.9,3393.9,3393.9,3393.9,3393.9,3393.9,99.8,1600.3,2464.2,1335.3,1735.6,1215.8,1589.4,1624.5,1809.1,1481.4,1828.8,1177.3,1596.0,1345.8,1600.3,6.4,55.8,0.0,1.5,1.5,4.6,0.7,0.7,6.2,0.7,1.5,2.3,1.5,55.8,6.4,47.5,59.9,40.6,52.9,36.6,48.1,49.4,55.6,45.8,55.9,36.1,48.6,41.1,47.5,34.0,34.0,34.0,34.0,34.0,34.0,34.0,0.0,74.2,72.5,72.0,77.4,80.7,76.5,66.0,20.7,20.8,26.2,21.2,16.8,19.2,19.8,5.8,7.4,2.1,1.5,2.6,4.4,16.6,1064.7,10.67,15,15,15,36,51,374,1,53.0,52.7,50.8,51.8,50.3,51.2,50.9,50.7,50.0,49.2,49.5,48.9,1.112,0.837,1.138,17.337,6.269,20.976,40.356,3.774,3.858,3.558,3.852,4.006,3.752,3.619,23.442,8.039,31.481,40.448,1066.7,1064.7,3400.2,3400.2,3400.2,46.1,35.0,55.5,103.0,No,No,No,39.0,50.0,22.0,40.0,1.120,1.264,3.376,3.360,12.038,0.848,1.216,3.456,3.280,0.936,1.064,5.040,0.328,1.848,2146,No,41,41,No,No,62037,84517,48,80.0,No,No,57288,39907,57.1,0.0,57.1,3.642,0.000,304725,16985,3.7,1.0,4.7,1.514,0.743,55634,169470,64.6,72.6,83.0,1.044,12.064,12.024,12.104,1262,68.191,28.489,46.476,32.705,34.860,21.713,5.340,29.843,1911.0,2003.4,1708.5,1910.4,46.0,23.0,9.0,1.0,78.2,12.7,42.2,0.0,8.6,0.0,36,Yes,No,No,Yes,No,No,No,53.6,52.3,2403,2317,91,8.0,10815,53720,115.493,1412.573,0,
26.12.2023,0:29:24.607,21769,12977,62.6,14691,1624,90.0,4.8,1.124,1.138,1.131,1.119,1.119,1.119,1.119,3393.9,3393.9,3393.9,3393.9,3393.9,3393.9,3393.9,99.8,1720.8,2326.4,1558.8,2108.1,1328.0,1798.6,1783.5,1939.2,1464.2,1884.6,1355.2,1733.8,1369.4,1720.8,4.8,46.0,0.0,2.3,0.0,1.5,0.7,0.0,0.7,1.5,1.5,1.5,1.5,46.0,4.8,52.0,62.5,47.6,65.1,40.1,55.1,54.7,59.8,45.0,58.0,41.4,53.2,41.5,52.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,0.0,77.9,68.4,80.8,82.2,80.3,77.8,77.6,18.4,17.4,18.7,17.2,18.4,18.7,20.1,4.1,16.3,0.5,0.5,1.3,3.6,2.4,1064.7,10.67,15,15,15,36,51,374,1,53.0,52.7,50.9,52.1,51.0,51.5,50.6,50.7,49.7,49.3,49.6,48.9,1.125,0.837,1.131,17.710,6.407,21.497,41.068,3.867,4.005,3.973,4.050,3.790,3.798,3.584,23.995,8.093,32.088,41.158,1066.7,1064.7,3399.9,3399.9,3399.9,46.9,35.8,55.5,103.0,No,No,No,39.0,50.0,22.0,40.0,1.120,1.264,3.376,3.376,12.038,0.848,1.216,3.456,3.280,0.936,1.064,5.064,0.328,1.848,2136,No,41,41,No,No,62037,84517,48,80.0,No,No,57288,39907,63.7,0.1,63.8,3.056,0.012,304731,16985,3.2,3.4,6.7,0.882,2.777,55636,169476,64.5,72.5,83.0,1.044,12.072,12.032,12.112,1271,61.181,42.925,40.693,30.032,30.522,20.487,107.642,28.176,1911.0,2003.4,1708.5,1900.2,45.0,22.0,10.0,1.0,78.2,13.2,43.2,0.0,9.6,0.0,36,Yes,No,No,Yes,No,No,No,55.5,51.0,2403,2317,91,8.0,10815,53722,105.585,1075.579,0,
26.12.2023,0:29:26.531,21795,12951,62.7,14709,1606,90.1,4.8,1.129,1.125,1.125,1.131,1.131,1.131,1.131,3393.9,3393.9,3393.9,3393.9,3393.9,3393.9,3393.9,99.8,1450.9,2616.2,1225.4,1724.2,949.8,1316.2,1754.9,1626.5,1105.1,1688.2,916.7,1367.4,1120.7,1450.9,3.8,43.7,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,43.7,3.8,41.7,56.1,36.8,51.7,27.8,39.3,53.5,49.1,33.5,50.7,27.5,40.7,33.7,41.7,34.0,34.0,34.0,34.0,34.0,34.0,34.0,0.0,72.8,76.9,70.8,77.3,72.3,71.1,68.7,23.6,22.6,27.4,20.7,22.5,23.5,25.1,3.7,0.5,1.8,2.0,5.6,5.5,6.6,1064.7,10.67,15,15,15,36,51,374,1,53.0,52.2,50.2,51.5,50.0,51.1,49.9,49.9,49.0,49.0,49.4,48.6,1.125,0.837,1.138,16.054,6.255,18.981,38.134,3.418,3.723,3.335,3.746,3.329,3.285,3.091,21.259,8.053,29.312,38.206,1066.7,1064.7,3400.5,3400.5,3400.5,43.5,31.6,55.0,103.1,No,No,No,39.0,50.0,23.0,40.0,1.120,1.264,3.360,3.360,12.038,0.848,1.216,3.456,3.280,0.936,1.064,5.064,0.328,1.848,2146,No,41,41,No,No,62037,84517,48,80.0,No,No,57288,39907,11.7,0.0,11.7,4.429,0.000,304740,16985,0.7,2.3,3.0,0.425,3.411,55637,169482,64.9,72.9,83.0,1.044,12.068,12.024,12.112,1278,65.167,27.291,43.600,31.840,32.702,21.568,5.435,28.601,1911.0,2003.4,1708.5,1900.1,45.0,22.0,10.0,1.0,78.2,12.8,41.9,0.0,9.4,0.0,36,Yes,No,No,Yes,No,No,No,49.9,51.9,2403,2317,91,8.0,10816,53725,123.337,1331.333,0,
26.12.2023,0:29:28.620,21803,12944,62.7,14704,1611,90.1,4.8,1.120,1.138,1.119,1.119,1.119,1.119,1.106,3393.9,3393.9,3393.9,3393.9,3393.9,3393.9,3393.9,99.8,1458.0,2662.3,1202.6,1744.7,971.1,1371.4,1713.0,1615.5,1075.6,1681.3,961.1,1399.8,1097.6,1458.0,4.6,49.6,0.7,1.5,0.0,0.0,0.7,0.7,0.0,0.0,1.5,0.0,0.0,49.6,4.6,41.9,57.9,36.1,52.9,28.6,40.8,51.5,48.3,32.4,50.7,28.9,41.5,33.0,41.9,34.0,34.0,34.0,34.0,34.0,34.0,34.0,0.0,73.7,78.3,72.0,78.4,72.5,72.0,69.2,22.8,21.4,26.4,19.6,22.1,23.7,23.8,3.7,0.3,1.6,1.9,5.7,4.7,7.8,1064.7,10.67,15,15,15,36,51,374,1,53.0,52.3,50.3,51.6,50.1,51.0,49.8,50.1,49.0,49.0,49.4,48.7,1.119,0.837,1.138,16.187,6.231,19.227,38.401,3.464,3.742,3.384,3.783,3.307,3.419,3.149,21.518,8.052,29.571,38.477,1066.7,1064.7,3400.2,3400.2,3400.2,43.8,32.0,55.0,103.1,No,No,No,39.0,50.0,23.0,40.0,1.168,1.264,3.376,3.360,12.038,0.848,1.216,3.456,3.280,0.936,1.064,5.064,0.328,1.848,2146,No,41,41,No,No,62037,84517,48,80.0,No,No,57288,39907,9.3,0.0,9.3,4.006,0.006,304747,16985,0.8,3.2,4.0,0.342,5.426,55637,169492,64.9,72.9,83.0,1.044,12.064,12.016,12.112,1278,61.044,26.115,41.015,30.953,30.764,21.331,5.441,27.186,1911.0,2003.4,1708.5,1901.4,44.0,21.0,10.0,1.0,78.2,12.3,39.5,0.0,9.6,0.0,36,Yes,No,No,Yes,No,No,No,49.3,50.9,2403,2317,91,8.0,10816,53727,116.194,1200.957,0,
26.12.2023,0:29:30.602,21453,13293,61.7,14530,1785,89.0,4.8,1.120,1.125,1.119,1.119,1.119,1.119,1.119,3393.9,3393.9,3393.9,3393.9,3393.9,3393.9,3393.9,99.8,1458.1,2597.8,1194.4,1670.8,1015.6,1286.9,1722.6,1671.0,1105.0,1631.2,956.9,1376.4,1268.6,1458.1,4.0,39.8,1.5,0.0,0.0,1.5,0.7,0.7,0.0,0.0,0.0,0.7,3.1,39.8,4.0,42.1,56.0,36.0,50.3,29.9,38.3,52.4,50.6,33.5,49.5,28.8,41.5,38.3,42.1,34.0,34.0,34.0,34.0,34.0,34.0,34.0,0.0,72.7,76.4,68.9,76.0,73.4,69.6,72.1,23.5,23.4,27.9,21.3,22.1,24.0,22.0,4.0,0.2,3.3,2.8,4.8,6.8,6.2,1064.7,10.67,15,15,15,36,51,374,1,53.0,52.1,50.2,51.4,50.0,50.8,49.9,49.8,49.2,48.9,49.2,48.6,1.112,0.837,1.138,16.115,6.217,18.973,38.086,3.419,3.640,3.341,3.626,3.359,3.259,3.287,21.244,8.039,29.282,38.168,1066.7,1064.7,3401.0,3401.0,3401.0,43.5,31.6,54.9,103.1,No,No,No,39.0,50.0,23.0,40.0,1.120,1.264,3.376,3.376,12.038,0.848,1.216,3.440,3.280,0.936,1.064,5.064,0.328,1.848,2139,No,41,41,No,No,62037,84517,48,80.0,No,No,57288,39907,3.8,0.0,3.9,3.466,0.002,304754,16985,0.1,1.3,1.4,0.048,2.441,55637,169497,65.4,73.4,83.0,1.044,12.068,12.024,12.112,1280,63.966,26.994,43.276,30.878,32.460,20.689,5.504,29.158,1911.0,2003.4,1708.5,1900.5,49.0,22.0,11.0,1.0,78.2,13.3,42.9,0.0,10.2,0.0,36,Yes,No,No,Yes,No,No,No,54.0,57.9,2403,2317,91,8.0,10816,53729,110.168,1167.894,0,
26.12.2023,0:29:32.570,21478,13269,61.8,14533,1782,89.0,4.8,1.113,1.113,1.113,1.113,1.113,1.113,1.113,3393.9,3393.9,3393.9,3393.9,3393.9,3393.9,3393.9,99.8,1451.6,2570.3,1133.8,1677.9,972.0,1335.4,1630.3,1582.9,1219.7,1581.1,1086.7,1462.6,1166.8,1451.6,4.6,48.0,0.0,0.7,0.0,0.7,0.7,0.0,1.5,0.7,0.0,1.5,1.5,48.0,4.6,42.1,55.7,34.2,51.0,28.6,40.0,49.7,47.9,36.9,48.1,32.7,44.3,35.7,42.1,34.0,34.0,34.0,34.0,34.0,34.0,34.0,0.0,72.4,75.6,68.7,74.3,72.7,70.9,72.1,23.8,24.0,29.5,23.3,21.5,22.0,22.2,4.0,0.4,1.8,2.5,6.0,7.2,5.8,1064.7,10.67,15,15,15,36,51,374,1,53.0,52.1,50.1,51.3,49.9,50.7,49.9,49.9,49.2,48.9,49.2,48.6,1.112,0.837,1.138,15.878,6.220,18.799,37.901,3.388,3.680,3.265,3.563,3.345,3.284,3.193,21.056,8.038,29.094,37.960,1066.7,1064.7,3400.4,3400.4,3400.4,43.3,31.3,54.8,103.0,No,No,No,39.0,50.0,23.0,40.0,1.120,1.264,3.376,3.376,12.038,0.848,1.216,3.456,3.280,0.936,1.064,5.064,0.328,1.848,2146,No,41,41,No,No,62037,84517,48,80.0,No,No,57288,39907,5.6,0.0,5.6,3.441,0.010,304761,16985,1.2,4.6,5.8,0.751,5.856,55639,169508,65.1,73.1,83.0,1.044,12.072,12.032,12.112,1284,63.016,26.177,41.984,30.898,31.491,21.030,5.467,26.191,1911.0,2003.4,1708.5,1900.9,42.0,21.0,10.0,1.0,78.2,12.2,39.5,0.0,9.4,0.0,36,Yes,No,No,Yes,No,No,No,50.3,50.5,2403,2317,91,8.0,10816,53732,122.336,1156.848,0,
26.12.2023,0:29:34.572,21498,13249,61.8,14547,1768,89.1,4.8,1.119,1.119,1.119,1.119,1.119,1.119,1.119,3393.9,3393.9,3393.9,3393.9,3393.9,3393.9,3393.9,99.8,1279.5,2456.1,959.8,1516.7,832.4,1021.2,1627.5,1532.8,980.5,1455.0,821.6,1155.3,995.1,1279.5,3.4,36.4,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,1.5,36.4,3.4,36.7,52.7,28.9,45.4,24.4,30.2,49.7,46.4,29.8,44.0,24.9,34.5,30.1,36.7,34.0,34.0,34.0,34.0,34.0,34.0,34.0,0.0,66.7,72.2,64.5,69.8,68.8,64.7,60.3,27.5,27.2,32.4,25.8,23.9,27.0,28.7,6.1,0.7,3.1,4.7,7.7,8.6,11.9,1064.7,10.67,15,15,15,36,51,374,1,52.8,51.8,49.7,51.0,49.6,50.5,49.5,49.4,48.5,48.8,49.1,48.4,1.125,0.837,1.138,15.041,6.144,17.145,35.929,3.088,3.414,2.992,3.320,3.084,2.961,2.757,19.224,8.010,27.234,36.025,1066.7,1064.7,3400.4,3400.4,3400.4,41.1,28.6,54.5,103.2,No,No,No,39.0,50.0,23.0,40.0,1.120,1.264,3.376,3.360,12.038,0.848,1.216,3.456,3.280,0.936,1.064,5.064,0.328,1.848,2146,No,41,41,No,No,62037,84517,48,80.0,No,No,57288,39907,45.5,1.3,46.9,2.503,0.016,304765,16985,1.0,1.7,2.7,0.307,2.636,55639,169513,65.1,73.1,83.0,1.044,12.068,12.016,12.120,1290,62.614,25.850,42.011,30.473,31.512,20.600,5.492,25.013,1911.0,2003.4,1708.5,1901.3,40.0,20.0,10.0,0.0,78.2,11.7,37.6,0.0,9.2,0.0,36,Yes,No,No,Yes,No,No,No,48.1,50.2,2403,2317,91,8.0,10817,53734,111.864,1256.524,0,
26.12.2023,0:29:36.714,21539,13208,61.9,14562,1753,89.2,4.8,1.119,1.119,1.119,1.119,1.119,1.113,1.125,3393.9,3393.9,3393.9,3393.9,3393.9,3393.9,3393.9,99.8,1327.4,2407.9,998.1,1557.1,895.8,1156.1,1664.9,1568.2,1039.3,1467.0,910.4,1215.3,1048.4,1327.4,3.4,33.5,0.0,1.5,0.0,3.9,0.0,0.7,0.7,0.0,0.7,0.0,0.0,33.5,3.4,38.4,52.3,30.0,46.9,26.5,34.7,51.1,47.6,31.5,44.5,27.7,36.4,31.7,38.4,34.0,34.0,34.0,34.0,34.0,34.0,34.0,0.0,68.1,70.8,66.0,72.1,68.8,65.9,64.8,27.2,28.8,31.4,24.8,24.5,26.5,27.5,4.9,0.4,2.6,3.5,6.9,7.9,7.9,1064.7,10.67,15,15,15,36,51,374,1,52.6,52.0,49.9,51.1,49.7,50.8,49.6,49.6,48.6,48.8,49.1,48.4,1.119,0.837,1.138,15.392,6.124,17.695,36.563,3.188,3.385,3.081,3.481,3.207,3.080,2.892,19.825,8.009,27.834,36.642,1066.7,1064.7,3400.5,3400.5,3400.5,41.8,29.5,54.7,103.2,No,No,No,39.0,50.0,23.0,40.0,1.120,1.264,3.376,3.376,12.038,0.848,1.216,3.456,3.280,0.936,1.064,5.064,0.328,1.848,2136,No,41,41,No,No,62037,84517,48,80.0,No,No,57288,39907,12.0,0.0,12.0,4.433,0.000,304774,16985,3.2,4.8,7.9,2.759,6.200,55645,169525,65.3,73.3,83.0,1.044,12.068,12.024,12.112,1290,61.697,30.012,41.662,29.820,31.249,20.034,31.127,26.184,1911.0,2003.4,1708.5,1901.5,41.0,20.0,8.0,1.0,78.3,11.5,37.0,0.0,8.9,0.0,36,Yes,No,No,Yes,No,No,No,51.9,51.4,2404,2318,91,8.0,10817,53736,133.193,1078.450,0,
26.12.2023,0:29:38.949,21559,13187,62.0,14575,1740,89.3,4.8,1.119,1.119,1.119,1.119,1.119,1.119,1.119,3393.9,3393.9,3393.9,3393.9,3393.9,3393.9,3393.9,99.8,1631.1,2818.5,1422.1,1868.0,1135.9,1593.4,1755.5,1814.1,1247.2,1849.6,1179.1,1630.9,1258.6,1631.1,3.2,0.7,0.7,1.5,0.0,32.0,0.0,0.0,1.5,0.0,1.5,0.7,0.0,32.0,3.2,47.5,62.6,43.0,57.0,33.8,47.9,52.9,55.3,38.0,56.7,35.6,49.1,37.9,47.5,34.0,34.0,34.0,34.0,34.0,34.0,34.0,0.0,79.2,82.9,77.0,82.0,78.5,78.0,76.9,18.8,16.9,21.5,17.1,19.0,18.6,19.7,2.1,0.2,1.6,1.0,2.8,3.6,3.4,1064.7,10.67,15,15,15,36,51,374,1,52.6,52.6,50.6,52.0,50.4,51.2,50.2,50.2,49.5,49.1,49.5,48.8,1.112,0.837,1.131,17.052,6.271,20.896,40.339,3.764,4.078,3.654,3.982,3.626,3.708,3.538,23.360,8.062,31.422,40.389,1066.7,1064.7,3400.1,3400.1,3400.1,46.0,34.8,55.3,103.0,No,No,No,39.0,50.0,23.0,40.0,1.120,1.264,3.376,3.376,12.038,0.848,1.216,3.456,3.280,0.936,1.064,5.064,0.328,1.848,2146,No,41,41,No,No,62037,84517,48,80.0,No,No,57288,39907,68.0,0.0,68.0,5.462,0.000,304784,16985,2.8,4.1,6.9,2.530,5.528,55650,169536,65.7,73.7,83.0,1.044,12.068,12.024,12.112,1296,62.614,26.400,42.631,30.012,31.976,19.983,5.561,28.241,1911.0,2003.4,1708.5,1901.3,45.0,21.0,8.0,1.0,78.3,12.0,38.0,0.0,9.9,0.0,37,Yes,No,No,Yes,No,No,No,48.1,53.8,2404,2318,91,8.0,10817,53739,123.671,1151.248,0,
26.12.2023,0:29:40.665,21612,13134,62.1,14605,1709,89.5,4.8,1.111,1.106,1.113,1.113,1.113,1.113,1.113,3393.9,3393.9,3393.9,3393.9,3393.9,3393.9,3393.9,99.8,1697.9,2809.0,1399.6,1960.7,1152.7,1664.3,1826.7,1876.7,1366.8,1999.6,1223.3,1854.8,1240.3,1697.9,3.4,0.7,0.7,0.0,0.7,31.2,0.7,0.7,2.3,0.7,0.7,0.7,1.5,31.2,3.4,49.1,65.7,41.8,59.8,34.1,49.4,54.5,55.9,41.2,59.2,36.5,54.7,36.8,49.1,34.0,34.0,34.0,34.0,34.0,34.0,34.0,0.0,80.7,82.6,78.2,84.4,80.4,79.6,79.2,17.5,15.5,20.8,15.0,17.6,17.4,18.4,1.9,2.4,1.2,0.5,2.0,3.0,2.3,1064.7,10.67,15,15,15,36,51,374,1,52.8,52.5,50.6,52.0,50.4,51.2,50.3,50.3,49.6,49.2,49.5,48.8,1.112,0.837,1.138,17.513,6.278,21.507,41.049,3.874,4.141,3.735,4.049,3.764,3.881,3.676,24.020,8.084,32.104,41.121,1066.7,1064.7,3400.1,3400.1,3400.1,46.9,35.8,55.3,103.0,No,No,No,39.0,50.0,22.0,40.0,1.120,1.264,3.376,3.376,12.038,0.848,1.216,3.440,3.280,0.936,1.064,5.040,0.328,1.848,2139,No,41,41,No,No,62037,84517,48,80.0,No,No,57288,39907,11.6,0.1,11.7,4.542,0.010,304793,16985,6.5,8.6,15.1,4.894,9.987,55659,169555,64.5,72.5,83.0,1.044,12.076,12.040,12.112,1297,68.821,23.234,37.142,29.667,27.858,21.011,5.411,18.316,1911.0,2003.4,1708.5,1901.4,12.0,7.0,9.0,0.0,77.0,10.2,30.8,0.0,10.0,0.0,37,Yes,No,No,Yes,No,No,No,46.5,57.4,2366,2280,93,8.0,10817,53741,127.907,1211.559,0,
